"predictor","libsize","direction","rho","ci_lower","ci_upper","p_value","n_nominal","n_eff_clifford","is_pred_to_lst"
"distance_to_roads",110,"LST->distance_to_roads",0.170922602776119,0.128050989358902,0.213156630509256,1.4210854715202e-14,2000,567.23398051302,FALSE
"distance_to_roads",120,"LST->distance_to_roads",0.183900561812063,0.141207839641305,0.225910535099246,0,2000,567.23398051302,FALSE
"DEM",10,"DEM->LST",0.195324433749259,0.152801674766606,0.237125277114326,0,2000,123.801662977872,TRUE
"DEM",20,"DEM->LST",0.279477429942122,0.23856890831369,0.319395841330011,0,2000,123.801662977872,TRUE
"DEM",30,"DEM->LST",0.3212281869737,0.28135870928067,0.359990549506291,0,2000,123.801662977872,TRUE
"DEM",40,"DEM->LST",0.343680792681503,0.304435835704528,0.381760935972006,0,2000,123.801662977872,TRUE
"DEM",50,"DEM->LST",0.345850833788987,0.306668680824002,0.383862803776818,0,2000,123.801662977872,TRUE
"DEM",60,"DEM->LST",0.349399843956455,0.31032133390775,0.387299470710598,0,2000,123.801662977872,TRUE
"DEM",70,"DEM->LST",0.360595492948077,0.32185149945782,0.398133826203346,0,2000,123.801662977872,TRUE
"DEM",80,"DEM->LST",0.378411936489845,0.340224009659432,0.415353750315102,0,2000,123.801662977872,TRUE
"DEM",90,"DEM->LST",0.397485044045336,0.359924771226591,0.433758967151744,0,2000,123.801662977872,TRUE
"DEM",100,"DEM->LST",0.414918134255646,0.377960892438579,0.450555158685705,0,2000,123.801662977872,TRUE
"DEM",110,"DEM->LST",0.430629651470063,0.394239958321051,0.465671089220252,0,2000,123.801662977872,TRUE
"DEM",120,"DEM->LST",0.43763942780284,0.401510324129245,0.472408551450669,0,2000,123.801662977872,TRUE
"DEM",10,"LST->DEM",0.142736282692118,0.0995280236812346,0.185407258504152,1.43408396269251e-10,2000,123.801662977872,FALSE
"DEM",20,"LST->DEM",0.224248480304034,0.182208478447809,0.26547010199426,0,2000,123.801662977872,FALSE
"DEM",30,"LST->DEM",0.279517408834845,0.238609806315841,0.319434783441896,0,2000,123.801662977872,FALSE
"DEM",40,"LST->DEM",0.316014302573208,0.276006390086432,0.354929041503622,0,2000,123.801662977872,FALSE
"DEM",50,"LST->DEM",0.343932776562915,0.304695090219347,0.3820050238242,0,2000,123.801662977872,FALSE
"DEM",60,"LST->DEM",0.360471236862385,0.321723467608749,0.398013637415702,0,2000,123.801662977872,FALSE
"DEM",70,"LST->DEM",0.379091459161928,0.340925318501869,0.41600999787933,0,2000,123.801662977872,FALSE
"DEM",80,"LST->DEM",0.400383335107207,0.362921373151461,0.436553120641299,0,2000,123.801662977872,FALSE
"DEM",90,"LST->DEM",0.425201769810455,0.38861342167373,0.460451276554689,0,2000,123.801662977872,FALSE
"DEM",100,"LST->DEM",0.437823055602554,0.401700839543551,0.472584991122117,0,2000,123.801662977872,FALSE
"DEM",110,"LST->DEM",0.44541268265562,0.409577878854322,0.479875084425769,0,2000,123.801662977872,FALSE
"DEM",120,"LST->DEM",0.44869278521773,0.412983850367966,0.483024261686133,0,2000,123.801662977872,FALSE
"NDBI",10,"NDBI->LST",0.299263204686643,0.258827306030886,0.338652043430035,0,2000,94.771568528492,TRUE
"NDBI",20,"NDBI->LST",0.412170416884446,0.375116264828956,0.447909499910561,0,2000,94.771568528492,TRUE
"NDBI",30,"NDBI->LST",0.504903563832625,0.471507272961294,0.536853712249682,0,2000,94.771568528492,TRUE
"NDBI",40,"NDBI->LST",0.593728002393056,0.564589757159992,0.621388146113282,0,2000,94.771568528492,TRUE
"NDBI",50,"NDBI->LST",0.649613751064524,0.623536894515952,0.674246737305715,0,2000,94.771568528492,TRUE
"NDBI",60,"NDBI->LST",0.682367091953794,0.658222804336634,0.705109068332686,0,2000,94.771568528492,TRUE
"NDBI",70,"NDBI->LST",0.699554057004474,0.676464965344127,0.721269351784835,0,2000,94.771568528492,TRUE
"NDBI",80,"NDBI->LST",0.709281234973034,0.686801914838674,0.730405002351113,0,2000,94.771568528492,TRUE
"NDBI",90,"NDBI->LST",0.715928250081013,0.693870847888096,0.736643456253668,0,2000,94.771568528492,TRUE
"NDBI",100,"NDBI->LST",0.720082667573169,0.698291126061131,0.740540731479482,0,2000,94.771568528492,TRUE
"NDBI",110,"NDBI->LST",0.722886944486259,0.701275801656382,0.74317065683299,0,2000,94.771568528492,TRUE
"NDBI",120,"NDBI->LST",0.72504920418672,0.703577676596308,0.74519805355998,0,2000,94.771568528492,TRUE
"NDBI",10,"LST->NDBI",0.293932474774806,0.253365737683517,0.333467237450407,0,2000,94.771568528492,FALSE
"NDBI",20,"LST->NDBI",0.416507343905618,0.379606471064617,0.452085054586991,0,2000,94.771568528492,FALSE
"NDBI",30,"LST->NDBI",0.529713215475633,0.497431561411791,0.560529864233037,0,2000,94.771568528492,FALSE
"NDBI",40,"LST->NDBI",0.611177574747087,0.582963345850094,0.637919608724249,0,2000,94.771568528492,FALSE
"NDBI",50,"LST->NDBI",0.654684655187099,0.628900292541755,0.679030509255528,0,2000,94.771568528492,FALSE
"NDBI",60,"LST->NDBI",0.684260220086359,0.660230772711976,0.706890266939438,0,2000,94.771568528492,FALSE
"NDBI",70,"LST->NDBI",0.700134473297485,0.677081511316111,0.721814683944105,0,2000,94.771568528492,FALSE
"NDBI",80,"LST->NDBI",0.709790009363963,0.6873428333353,0.730882629332081,0,2000,94.771568528492,FALSE
"NDBI",90,"LST->NDBI",0.715122179799763,0.693013385892639,0.735887119170623,0,2000,94.771568528492,FALSE
"NDBI",100,"LST->NDBI",0.720464869058784,0.698697869913149,0.740899207069266,0,2000,94.771568528492,FALSE
"NDBI",110,"LST->NDBI",0.724651533764316,0.703154295121196,0.744825214314495,0,2000,94.771568528492,FALSE
"NDBI",120,"LST->NDBI",0.728676920133445,0.707440643447609,0.748598667601619,0,2000,94.771568528492,FALSE
"BSI",10,"BSI->LST",0.325589731702723,0.285837964526276,0.364222875527424,0,2000,158.797760223067,TRUE
"BSI",20,"BSI->LST",0.440642823159641,0.404626765231616,0.475294028691011,0,2000,158.797760223067,TRUE
"BSI",30,"BSI->LST",0.523347728768587,0.490774585537999,0.55446000371562,0,2000,158.797760223067,TRUE
"BSI",40,"BSI->LST",0.596633148089877,0.567646738101931,0.624142147346709,0,2000,158.797760223067,TRUE
"BSI",50,"BSI->LST",0.643286071020044,0.61684766944484,0.668274451860617,0,2000,158.797760223067,TRUE
"BSI",60,"BSI->LST",0.674066610772194,0.649422855760728,0.697295956542815,0,2000,158.797760223067,TRUE
"BSI",70,"BSI->LST",0.690231432940546,0.666566460337658,0.712506557393954,0,2000,158.797760223067,TRUE
"BSI",80,"BSI->LST",0.699499825211174,0.676407359390282,0.72121839673843,0,2000,158.797760223067,TRUE
"BSI",90,"BSI->LST",0.705742177839114,0.683039950765962,0.727082036203411,0,2000,158.797760223067,TRUE
"BSI",100,"BSI->LST",0.70989142580271,0.687450660189141,0.730977834538748,0,2000,158.797760223067,TRUE
"BSI",110,"BSI->LST",0.712354788386282,0.690070032971673,0.733290076819281,0,2000,158.797760223067,TRUE
"BSI",120,"BSI->LST",0.714548425592467,0.692403089591025,0.735348733075057,0,2000,158.797760223067,TRUE
"BSI",10,"LST->BSI",0.312257509655684,0.27215138728333,0.351280626695994,0,2000,158.797760223067,FALSE
"BSI",20,"LST->BSI",0.435505964515725,0.399297066880461,0.470358398499947,0,2000,158.797760223067,FALSE
"BSI",30,"LST->BSI",0.542559752408446,0.51087795736373,0.572769705971071,0,2000,158.797760223067,FALSE
"BSI",40,"LST->BSI",0.617630541840553,0.589765336938909,0.644026816714281,0,2000,158.797760223067,FALSE
"BSI",50,"LST->BSI",0.658908737396149,0.633369897592802,0.683013831375677,0,2000,158.797760223067,FALSE
"BSI",60,"LST->BSI",0.685890664765854,0.661960398188847,0.708424083014224,0,2000,158.797760223067,FALSE
"BSI",70,"LST->BSI",0.701506777777274,0.678539367553416,0.723103930357216,0,2000,158.797760223067,FALSE
"BSI",80,"LST->BSI",0.711025252807658,0.6886562224471,0.732042164620613,0,2000,158.797760223067,FALSE
"BSI",90,"LST->BSI",0.715121861478004,0.693013047288354,0.735886820478552,0,2000,158.797760223067,FALSE
"BSI",100,"LST->BSI",0.717187842723097,0.695210872209931,0.737825230374881,0,2000,158.797760223067,FALSE
"BSI",110,"LST->BSI",0.719782358557831,0.69797154312605,0.740259056558244,0,2000,158.797760223067,FALSE
"BSI",120,"LST->BSI",0.722273202915187,0.700622513420377,0.742595127258163,0,2000,158.797760223067,FALSE
"NDVI",10,"NDVI->LST",0.104044306629325,0.0604892265764157,0.147203936474897,3.12006670943887e-06,2000,661.59252604112,TRUE
"NDVI",20,"NDVI->LST",0.183122052356052,0.140418173595337,0.225145871843297,0,2000,661.59252604112,TRUE
"NDVI",30,"NDVI->LST",0.267457516423418,0.226279235433901,0.307681525498424,0,2000,661.59252604112,TRUE
"NDVI",40,"NDVI->LST",0.343453133759324,0.304201613010219,0.38154040627803,0,2000,661.59252604112,TRUE
"NDVI",50,"NDVI->LST",0.388947577880232,0.351102212974505,0.425524201555574,0,2000,661.59252604112,TRUE
"NDVI",60,"NDVI->LST",0.425253379716533,0.388666907603984,0.460500919560674,0,2000,661.59252604112,TRUE
"NDVI",70,"NDVI->LST",0.453674237951026,0.418158369843641,0.487805181645815,0,2000,661.59252604112,TRUE
"NDVI",80,"NDVI->LST",0.473074589792802,0.438332615646782,0.506405061323338,0,2000,661.59252604112,TRUE
"NDVI",90,"NDVI->LST",0.484605531227463,0.450340144066909,0.517445551723702,0,2000,661.59252604112,TRUE
"NDVI",100,"NDVI->LST",0.494522093761715,0.460676492039276,0.526931592036341,0,2000,661.59252604112,TRUE
"NDVI",110,"NDVI->LST",0.501946827978145,0.46842154289657,0.53402870320424,0,2000,661.59252604112,TRUE
"NDVI",120,"NDVI->LST",0.508801522796752,0.475576539202401,0.540576917022462,0,2000,661.59252604112,TRUE
"NDVI",10,"LST->NDVI",0.112233338374413,0.068740560615603,0.155300303491709,4.8540194352853e-07,2000,661.59252604112,FALSE
"NDVI",20,"LST->NDVI",0.199746075368696,0.157292245264775,0.241462985859924,0,2000,661.59252604112,FALSE
"NDVI",30,"LST->NDVI",0.287877007305815,0.247164779514622,0.327574630217267,0,2000,661.59252604112,FALSE
"NDVI",40,"LST->NDVI",0.35780634693974,0.318977940844205,0.395435667585502,0,2000,661.59252604112,FALSE
"NDVI",50,"LST->NDVI",0.403445545500733,0.366088296641353,0.43950454586031,0,2000,661.59252604112,FALSE
"NDVI",60,"LST->NDVI",0.43469781265901,0.39845879941676,0.469581706183978,0,2000,661.59252604112,FALSE
"NDVI",70,"LST->NDVI",0.456313193859876,0.420900538358157,0.490337074691089,0,2000,661.59252604112,FALSE
"NDVI",80,"LST->NDVI",0.470792270476175,0.435957434721723,0.504218520680774,0,2000,661.59252604112,FALSE
"NDVI",90,"LST->NDVI",0.479967675816542,0.445509110284099,0.513006274424541,0,2000,661.59252604112,FALSE
"NDVI",100,"LST->NDVI",0.486885392421733,0.452715703000334,0.519627148712155,0,2000,661.59252604112,FALSE
"NDVI",110,"LST->NDVI",0.492346469405625,0.458407983306986,0.524851112449357,0,2000,661.59252604112,FALSE
"NDVI",120,"LST->NDVI",0.497843087951953,0.464140122984152,0.53010660318057,0,2000,661.59252604112,FALSE
